pre_state,action,reward,state
2.18899 0.706811 -0.0924099 0.356071,1.16703 0.989763 1.01061 1.36767,-100.801,2.18929 0.706858 -0.121734 0.358277
2.18929 0.706858 -0.121734 0.358277,1.17342 0.996777 1.01478 1.39376,-100.819,2.1896 0.706904 -0.152771 0.360467
2.1896 0.706904 -0.152771 0.360467,1.16506 1.0161 1.0282 1.3902,-100.836,2.18992 0.706947 -0.185413 0.362561
2.18992 0.706947 -0.185413 0.362561,1.17676 1.02476 1.00444 1.39817,-100.852,2.19024 0.706988 -0.219184 0.36451
2.19024 0.706988 -0.219184 0.36451,1.17547 1.03395 1.02328 1.40944,-100.867,2.19057 0.707026 -0.254249 0.36644
2.19057 0.707026 -0.254249 0.36644,1.19649 1.02903 1.0526 1.40219,-100.882,2.19091 0.707062 -0.290587 0.368351
2.19091 0.707062 -0.290587 0.368351,1.2113 1.01721 1.02871 1.38639,-100.895,2.19126 0.707095 -0.327664 0.369985
2.19126 0.707095 -0.327664 0.369985,1.21413 1.01192 1.03894 1.39594,-100.907,2.19161 0.707125 -0.365664 0.371551
2.19161 0.707125 -0.365664 0.371551,1.22086 1.00652 1.07263 1.39841,-100.917,2.19196 0.707151 -0.404889 0.373123
2.19196 0.707151 -0.404889 0.373123,1.26456 1.00392 1.10145 1.37821,-100.926,2.19232 0.707174 -0.44491 0.374743
2.19232 0.707174 -0.44491 0.374743,1.25654 1.00607 1.10872 1.34887,-100.934,2.19269 0.707193 -0.485497 0.376136
2.19269 0.707193 -0.485497 0.376136,1.2679 1.01502 1.09697 1.35934,-100.94,2.19306 0.707208 -0.526379 0.377484
2.19306 0.707208 -0.526379 0.377484,1.26297 1.04703 1.11405 1.37605,-100.944,2.19343 0.70722 -0.567605 0.378935
2.19343 0.70722 -0.567605 0.378935,1.24006 1.04875 1.15122 1.38438,-100.947,2.19381 0.707227 -0.609852 0.380353
2.19381 0.707227 -0.609852 0.380353,1.24513 1.02566 1.12134 1.34879,-100.949,2.19419 0.707231 -0.652541 0.381367
2.19419 0.707231 -0.652541 0.381367,1.23227 1.01635 1.16542 1.36298,-100.949,2.19457 0.70723 -0.696484 0.382423
2.19457 0.70723 -0.696484 0.382423,1.25395 0.995399 1.15363 1.37152,-100.947,2.19495 0.707225 -0.741538 0.383385
2.19495 0.707225 -0.741538 0.383385,1.24344 0.985225 1.17642 1.34494,-100.943,2.19533 0.707216 -0.78779 0.384183
2.19533 0.707216 -0.78779 0.384183,1.24875 1.02106 1.19325 1.32103,-100.937,2.1957 0.707202 -0.83463 0.385035
2.1957 0.707202 -0.83463 0.385035,1.27684 1.02414 1.1753 1.33331,-100.93,2.19608 0.707183 -0.881617 0.385904
2.19608 0.707183 -0.881617 0.385904,1.27512 1.00461 1.18535 1.34045,-100.92,2.19645 0.707159 -0.929145 0.386689
2.19645 0.707159 -0.929145 0.386689,1.29158 0.999004 1.20719 1.33427,-100.909,2.19682 0.707131 -0.977217 0.3875
2.19682 0.707131 -0.977217 0.3875,1.31881 0.992312 1.21876 1.33539,-100.896,2.19718 0.707098 -1.0257 0.38836
2.19718 0.707098 -1.0257 0.38836,1.31906 1.02622 1.2165 1.35627,-100.881,2.19754 0.707061 -1.0744 0.389332
2.19754 0.707061 -1.0744 0.389332,1.28641 1.03944 1.20138 1.34677,-100.864,2.19789 0.707019 -1.12323 0.39007
2.19789 0.707019 -1.12323 0.39007,1.26251 1.03343 1.18369 1.34541,-100.846,2.19823 0.706973 -1.1723 0.390577
2.19823 0.706973 -1.1723 0.390577,1.27168 1.0489 1.1572 1.30158,-100.826,2.19857 0.706922 -1.22059 0.390884
2.19857 0.706922 -1.22059 0.390884,1.30824 1.06063 1.11044 1.3501,-100.804,2.19889 0.706867 -1.26768 0.391338
2.19889 0.706867 -1.26768 0.391338,1.29608 1.08426 1.13976 1.32875,-100.781,2.1992 0.706809 -1.31363 0.391822
2.1992 0.706809 -1.31363 0.391822,1.30651 1.0548 1.12901 1.37449,-100.756,2.19951 0.706747 -1.35912 0.392322
2.19951 0.706747 -1.35912 0.392322,1.27996 1.04412 1.12229 1.33326,-100.73,2.1998 0.706681 -1.40407 0.392483
2.1998 0.706681 -1.40407 0.392483,1.29208 1.03752 1.1426 1.32153,-100.703,2.20008 0.706613 -1.44856 0.392681
2.20008 0.706613 -1.44856 0.392681,1.30298 1.04748 1.13549 1.3097,-100.674,2.20035 0.706541 -1.49221 0.392868
2.20035 0.706541 -1.49221 0.392868,1.28438 1.05864 1.10628 1.30159,-100.645,2.2006 0.706466 -1.53476 0.392885
2.2006 0.706466 -1.53476 0.392885,1.31515 1.05802 1.1367 1.26586,-100.614,2.20085 0.706388 -1.57595 0.392986
2.20085 0.706388 -1.57595 0.392986,1.33871 1.05438 1.12834 1.2562,-100.582,2.20108 0.706308 -1.61546 0.393085
2.20108 0.706308 -1.61546 0.393085,1.34706 1.06212 1.12286 1.2925,-100.549,2.2013 0.706226 -1.65359 0.393339
2.2013 0.706226 -1.65359 0.393339,1.37542 1.02799 1.13704 1.31724,-100.516,2.2015 0.706141 -1.6909 0.393686
2.2015 0.706141 -1.6909 0.393686,1.40226 1.02828 1.15051 1.34572,-100.482,2.2017 0.706054 -1.72761 0.394244
2.2017 0.706054 -1.72761 0.394244,1.42394 1.00043 1.12588 1.34851,-100.446,2.20188 0.705966 -1.76359 0.394658
2.20188 0.705966 -1.76359 0.394658,1.42993 1.03343 1.15353 1.36852,-100.411,2.20205 0.705875 -1.79898 0.395337
2.20205 0.705875 -1.79898 0.395337,1.41989 1.01841 1.12009 1.34931,-100.374,2.2022 0.705783 -1.83354 0.39569
2.2022 0.705783 -1.83354 0.39569,1.44032 1.05352 1.13706 1.3435,-100.337,2.20234 0.70569 -1.86685 0.396244
2.20234 0.70569 -1.86685 0.396244,1.42602 1.02809 1.12647 1.33538,-100.3,2.20248 0.705595 -1.89921 0.396549
2.20248 0.705595 -1.89921 0.396549,1.42755 1.03312 1.12189 1.33676,-100.262,2.20259 0.705499 -1.93057 0.39684
2.20259 0.705499 -1.93057 0.39684,1.4409 0.992599 1.11989 1.33163,-100.224,2.2027 0.705402 -1.96121 0.396987
2.2027 0.705402 -1.96121 0.396987,1.44272 0.987387 1.11844 1.36832,-100.185,2.20279 0.705303 -1.99157 0.397232
2.20279 0.705303 -1.99157 0.397232,1.46969 0.966787 1.1225 1.37078,-100.146,2.20288 0.705205 -2.02167 0.397501
2.20288 0.705205 -2.02167 0.397501,1.48683 0.957563 1.13971 1.36055,-100.107,2.20294 0.705105 -2.05152 0.397799
2.20294 0.705105 -2.05152 0.397799,1.47568 0.996914 1.13795 1.34156,-100.068,2.203 0.705005 -2.08061 0.398098
2.203 0.705005 -2.08061 0.398098,1.47465 0.985017 1.15215 1.32633,-100.028,2.20304 0.704904 -2.10911 0.398323
2.20304 0.704904 -2.10911 0.398323,1.48606 0.996787 1.16162 1.31887,-99.9883,2.20308 0.704803 -2.13684 0.398616
2.20308 0.704803 -2.13684 0.398616,1.47624 1.00126 1.1898 1.33216,-99.9484,2.2031 0.704701 -2.16431 0.399009
2.2031 0.704701 -2.16431 0.399009,1.44564 1.00954 1.15073 1.34938,-99.9085,2.20311 0.7046 -2.19156 0.399216
2.20311 0.7046 -2.19156 0.399216,1.41004 1.00932 1.14728 1.30526,-99.8686,2.2031 0.704498 -2.21847 0.399116
2.2031 0.704498 -2.21847 0.399116,1.37482 1.003 1.17844 1.30291,-99.8287,2.20309 0.704396 -2.24579 0.39898
2.20309 0.704396 -2.24579 0.39898,1.35068 0.998938 1.14258 1.29595,-99.789,2.20306 0.704295 -2.27336 0.39861
2.20306 0.704295 -2.27336 0.39861,1.35353 0.971613 1.15799 1.28428,-99.7493,2.20302 0.704193 -2.30146 0.398199
2.20302 0.704193 -2.30146 0.398199,1.34934 0.977127 1.12909 1.25701,-99.7099,2.20297 0.704092 -2.32945 0.397633
2.20297 0.704092 -2.32945 0.397633,1.34857 0.965834 1.12971 1.29512,-99.6707,2.20291 0.703992 -2.35787 0.397208
2.20291 0.703992 -2.35787 0.397208,1.34361 0.982456 1.13893 1.25933,-99.6317,2.20283 0.703892 -2.38631 0.396767
2.20283 0.703892 -2.38631 0.396767,1.36873 1.00501 1.14163 1.26364,-99.593,2.20275 0.703793 -2.41432 0.396552
2.20275 0.703793 -2.41432 0.396552,1.34187 1.02484 1.14761 1.26119,-99.5546,2.20265 0.703694 -2.44205 0.396344
2.20265 0.703694 -2.44205 0.396344,1.35515 1.00973 1.12033 1.28485,-99.5164,2.20254 0.703597 -2.46949 0.396135
2.20254 0.703597 -2.46949 0.396135,1.35223 1.02015 1.12189 1.3372,-99.4787,2.20242 0.7035 -2.49714 0.396156
2.20242 0.7035 -2.49714 0.396156,1.33441 1.04874 1.10678 1.30653,-99.4412,2.20229 0.703404 -2.5244 0.396054
2.20229 0.703404 -2.5244 0.396054,1.33762 1.04865 1.12394 1.30932,-99.4042,2.20215 0.703308 -2.55146 0.39604
2.20215 0.703308 -2.55146 0.39604,1.32426 1.03591 1.105 1.28517,-99.3676,2.202 0.703214 -2.57816 0.395788
2.202 0.703214 -2.57816 0.395788,1.34046 1.03654 1.11275 1.27166,-99.3314,2.20184 0.703121 -2.60427 0.395596
2.20184 0.703121 -2.60427 0.395596,1.34449 1.02362 1.0901 1.25988,-99.2957,2.20167 0.703029 -2.62956 0.395269
2.20167 0.703029 -2.62956 0.395269,1.37427 1.01608 1.08293 1.25537,-99.2605,2.20149 0.702938 -2.6537 0.395007
