pre_state,action,reward,state
2.19813 0.704492 -0.947251 0.395609,1.45465 0.549418 1.48162 1.43606,-99.8346,2.19842 0.704411 -1.04813 0.395987
2.19842 0.704411 -1.04813 0.395987,1.4482 0.515589 1.4817 1.42278,-99.8002,2.19868 0.704323 -1.14945 0.396148
2.19868 0.704323 -1.14945 0.396148,1.43793 0.506718 1.47698 1.4469,-99.7633,2.1989 0.704229 -1.25155 0.396297
2.1989 0.704229 -1.25155 0.396297,1.40943 0.513013 1.46336 1.45956,-99.7243,2.19909 0.704129 -1.3545 0.396352
2.19909 0.704129 -1.3545 0.396352,1.40857 0.534843 1.49077 1.47263,-99.6836,2.19923 0.704025 -1.45835 0.396616
2.19923 0.704025 -1.45835 0.396616,1.43182 0.557311 1.51504 1.44206,-99.6416,2.19933 0.703917 -1.56237 0.396995
2.19933 0.703917 -1.56237 0.396995,1.42146 0.511061 1.50457 1.44321,-99.5987,2.19939 0.703808 -1.66702 0.397112
2.19939 0.703808 -1.66702 0.397112,1.40689 0.530324 1.50781 1.46159,-99.5555,2.1994 0.703697 -1.77237 0.397311
2.1994 0.703697 -1.77237 0.397311,1.40203 0.536524 1.48141 1.46675,-99.5125,2.19936 0.703586 -1.87804 0.397425
2.19936 0.703586 -1.87804 0.397425,1.41959 0.525321 1.47482 1.48166,-99.47,2.19928 0.703477 -1.98399 0.397579
2.19928 0.703477 -1.98399 0.397579,1.43015 0.531721 1.46484 1.48746,-99.4286,2.19915 0.703371 -2.08994 0.397765
2.19915 0.703371 -2.08994 0.397765,1.40001 0.540223 1.48953 1.50059,-99.3887,2.19898 0.703269 -2.19651 0.397991
2.19898 0.703269 -2.19651 0.397991,1.38788 0.538744 1.49153 1.47212,-99.3509,2.19877 0.703171 -2.30345 0.398059
2.19877 0.703171 -2.30345 0.398059,1.38021 0.563897 1.48327 1.48302,-99.3156,2.19852 0.70308 -2.41053 0.39819
2.19852 0.70308 -2.41053 0.39819,1.4015 0.581662 1.52983 1.48198,-99.283,2.19823 0.702996 -2.51779 0.398604
2.19823 0.702996 -2.51779 0.398604,1.38624 0.59431 1.52457 1.44364,-99.2537,2.19791 0.702921 -2.62476 0.398823
2.19791 0.702921 -2.62476 0.398823,1.36787 0.578811 1.56024 1.45324,-99.2281,2.19756 0.702855 -2.73233 0.399063
2.19756 0.702855 -2.73233 0.399063,1.37531 0.542664 1.56816 1.45486,-99.2063,2.19718 0.702799 -2.84079 0.399215
2.19718 0.702799 -2.84079 0.399215,1.39558 0.542781 1.54103 1.43007,-99.1888,2.19678 0.702753 -2.94919 0.399246
2.19678 0.702753 -2.94919 0.399246,1.41491 0.566436 1.52617 1.41664,-99.1756,2.19636 0.70272 -3.0568 0.399324
2.19636 0.70272 -3.0568 0.399324,1.40211 0.599774 1.54029 1.41073,-99.167,2.19593 0.702697 3.11954 0.399496
2.19593 0.702697 3.11954 0.399496,1.39959 0.602844 1.50112 1.39052,-99.1629,2.1955 0.702687 3.01394 0.399449
2.1955 0.702687 3.01394 0.399449,1.40555 0.591837 1.51552 1.3695,-99.1634,2.19506 0.702688 2.90936 0.399366
2.19506 0.702688 2.90936 0.399366,1.41161 0.585384 1.52878 1.34722,-99.1685,2.19462 0.702701 2.80568 0.399257
2.19462 0.702701 2.80568 0.399257,1.39668 0.562993 1.55786 1.32273,-99.178,2.1942 0.702726 2.7023 0.399044
2.1942 0.702726 2.7023 0.399044,1.38555 0.557118 1.54293 1.28958,-99.192,2.19378 0.702762 2.59947 0.398623
2.19378 0.702762 2.59947 0.398623,1.37718 0.553202 1.53839 1.27442,-99.2101,2.19339 0.702809 2.49718 0.398127
2.19339 0.702809 2.49718 0.398127,1.36101 0.521347 1.5103 1.2378,-99.2322,2.19301 0.702866 2.3955 0.397283
2.19301 0.702866 2.3955 0.397283,1.36688 0.500196 1.5113 1.24502,-99.2581,2.19266 0.702932 2.29405 0.396485
2.19266 0.702932 2.29405 0.396485,1.37796 0.548234 1.51687 1.2722,-99.2873,2.19234 0.703008 2.19309 0.396074
2.19234 0.703008 2.19309 0.396074,1.37262 0.534132 1.52556 1.28108,-99.3197,2.19205 0.703091 2.09212 0.395691
2.19205 0.703091 2.09212 0.395691,1.38982 0.520806 1.51728 1.22579,-99.3548,2.19179 0.703181 1.99186 0.395133
2.19179 0.703181 1.99186 0.395133,1.38952 0.524169 1.54513 1.23995,-99.3923,2.19158 0.703278 1.89176 0.394778
2.19158 0.703278 1.89176 0.394778,1.38711 0.562166 1.57811 1.27583,-99.4319,2.1914 0.703379 1.79144 0.394816
2.1914 0.703379 1.79144 0.394816,1.34298 0.560113 1.59397 1.29402,-99.473,2.19126 0.703485 1.6901 0.394808
2.19126 0.703485 1.6901 0.394808,1.35051 0.571597 1.60305 1.30876,-99.5154,2.19117 0.703594 1.58788 0.39495
2.19117 0.703594 1.58788 0.39495,1.34855 0.558032 1.59299 1.32025,-99.5584,2.19112 0.703704 1.48477 0.39503
2.19112 0.703704 1.48477 0.39503,1.33495 0.553217 1.56769 1.31966,-99.6018,2.19112 0.703815 1.38102 0.394951
2.19112 0.703815 1.38102 0.394951,1.33001 0.564247 1.59199 1.32141,-99.6449,2.19116 0.703926 1.27653 0.394989
2.19116 0.703926 1.27653 0.394989,1.31829 0.545527 1.64303 1.3337,-99.6874,2.19125 0.704035 1.17047 0.395138
2.19125 0.704035 1.17047 0.395138,1.33504 0.561897 1.64672 1.33729,-99.7287,2.19139 0.70414 1.06341 0.395415
2.19139 0.70414 1.06341 0.395415,1.35039 0.567215 1.67479 1.3701,-99.7684,2.19157 0.704242 0.955125 0.395951
2.19157 0.704242 0.955125 0.395951,1.32925 0.574826 1.67659 1.37821,-99.806,2.19179 0.704338 0.845618 0.39643
2.19179 0.704338 0.845618 0.39643,1.33174 0.556506 1.68768 1.32779,-99.8409,2.19205 0.704427 0.735382 0.396676
2.19205 0.704427 0.735382 0.396676,1.35448 0.557612 1.67615 1.32977,-99.8727,2.19235 0.704508 0.624919 0.396952
2.19235 0.704508 0.624919 0.396952,1.37129 0.518649 1.69009 1.35,-99.9011,2.19268 0.704581 0.51368 0.397246
2.19268 0.704581 0.51368 0.397246,1.38441 0.544329 1.70299 1.34028,-99.9256,2.19304 0.704643 0.402203 0.39766
2.19304 0.704643 0.402203 0.39766,1.40575 0.52771 1.71561 1.3343,-99.9459,2.19343 0.704695 0.290515 0.398079
2.19343 0.704695 0.290515 0.398079,1.42181 0.546518 1.70833 1.32727,-99.9618,2.19384 0.704735 0.179179 0.398533
2.19384 0.704735 0.179179 0.398533,1.41084 0.558021 1.7036 1.31022,-99.973,2.19426 0.704764 0.0683576 0.398875
2.19426 0.704764 0.0683576 0.398875,1.43076 0.518527 1.70142 1.30173,-99.9794,2.1947 0.70478 -0.0421498 0.399084
2.1947 0.70478 -0.0421498 0.399084,1.42268 0.478919 1.67236 1.33051,-99.9809,2.19514 0.704784 -0.152908 0.399108
2.19514 0.704784 -0.152908 0.399108,1.401 0.523072 1.72205 1.31348,-99.9775,2.19558 0.704776 -0.263972 0.399321
2.19558 0.704776 -0.263972 0.399321,1.38065 0.510055 1.70985 1.26509,-99.9692,2.19601 0.704754 -0.374992 0.399191
2.19601 0.704754 -0.374992 0.399191,1.4143 0.506272 1.73302 1.26683,-99.956,2.19644 0.704721 -0.485925 0.399261
2.19644 0.704721 -0.485925 0.399261,1.41992 0.485631 1.67066 1.24045,-99.9383,2.19684 0.704675 -0.596011 0.398966
2.19684 0.704675 -0.596011 0.398966,1.41197 0.487519 1.72643 1.24364,-99.916,2.19722 0.704619 -0.706111 0.398879
2.19722 0.704619 -0.706111 0.398879,1.40894 0.476181 1.70574 1.27138,-99.8897,2.19758 0.704552 -0.816447 0.398774
2.19758 0.704552 -0.816447 0.398774,1.41657 0.465336 1.69611 1.27296,-99.8595,2.1979 0.704475 -0.92692 0.398639
2.1979 0.704475 -0.92692 0.398639,1.41182 0.4538 1.71324 1.26334,-99.8259,2.19819 0.704389 -1.03775 0.398485
2.19819 0.704389 -1.03775 0.398485,1.43375 0.43809 1.72835 1.26528,-99.7892,2.19844 0.704295 -1.14899 0.398425
2.19844 0.704295 -1.14899 0.398425,1.41668 0.43266 1.70921 1.2578,-99.7499,2.19865 0.704194 -1.26049 0.3982
2.19865 0.704194 -1.26049 0.3982,1.40969 0.424095 1.71872 1.30848,-99.7084,2.19881 0.704089 -1.37301 0.398149
2.19881 0.704089 -1.37301 0.398149,1.42066 0.453224 1.70956 1.35246,-99.6654,2.19892 0.703978 -1.48628 0.398361
2.19892 0.703978 -1.48628 0.398361,1.4172 0.455712 1.68873 1.34182,-99.6214,2.19898 0.703866 -1.59982 0.398443
2.19898 0.703866 -1.59982 0.398443,1.39363 0.415048 1.68963 1.31238,-99.577,2.19899 0.703752 -1.71395 0.398197
2.19899 0.703752 -1.71395 0.398197,1.43572 0.45558 1.67669 1.32252,-99.5327,2.19895 0.703638 -1.82764 0.398248
2.19895 0.703638 -1.82764 0.398248,1.43244 0.426186 1.68339 1.33496,-99.4891,2.19886 0.703526 -1.94154 0.398248
2.19886 0.703526 -1.94154 0.398248,1.42743 0.485281 1.70386 1.31952,-99.4468,2.19872 0.703418 -2.05508 0.398453
2.19872 0.703418 -2.05508 0.398453,1.43157 0.504507 1.72252 1.27817,-99.4063,2.19853 0.703314 -2.16785 0.398643
2.19853 0.703314 -2.16785 0.398643,1.40935 0.520184 1.732 1.26311,-99.3682,2.1983 0.703216 -2.28002 0.398774
2.1983 0.703216 -2.28002 0.398774,1.3949 0.562399 1.70171 1.24427,-99.3329,2.19802 0.703125 -2.39091 0.398821
2.19802 0.703125 -2.39091 0.398821,1.37792 0.566891 1.67698 1.25989,-99.3008,2.19771 0.703042 -2.50082 0.398788
2.19771 0.703042 -2.50082 0.398788,1.37183 0.584101 1.67736 1.27144,-99.2723,2.19736 0.702969 -2.60997 0.398839
2.19736 0.702969 -2.60997 0.398839,1.37475 0.555283 1.68339 1.26124,-99.2477,2.19699 0.702905 -2.71872 0.39878
2.19699 0.702905 -2.71872 0.39878,1.37755 0.526899 1.6555 1.22852,-99.2273,2.19659 0.702853 -2.8268 0.398428
2.19659 0.702853 -2.8268 0.398428,1.395 0.486168 1.66557 1.24292,-99.2114,2.19617 0.702812 -2.93485 0.39811
2.19617 0.702812 -2.93485 0.39811,1.43757 0.485972 1.65268 1.23862,-99.2001,2.19574 0.702783 -3.04224 0.397906
2.19574 0.702783 -3.04224 0.397906,1.42771 0.516575 1.64273 1.22917,-99.1935,2.19529 0.702766 3.13451 0.397724
2.19529 0.702766 3.13451 0.397724,1.43702 0.548693 1.63348 1.24219,-99.1915,2.19484 0.702761 3.02922 0.397715
2.19484 0.702761 3.02922 0.397715,1.43004 0.570765 1.66754 1.22425,-99.1943,2.19439 0.702768 2.92486 0.397814
2.19439 0.702768 2.92486 0.397814,1.4397 0.589633 1.66763 1.24801,-99.2017,2.19395 0.702787 2.82128 0.398087
2.19395 0.702787 2.82128 0.398087,1.43073 0.600937 1.65148 1.26508,-99.2135,2.19352 0.702817 2.71835 0.398347
2.19352 0.702817 2.71835 0.398347,1.44136 0.60051 1.65464 1.27674,-99.2297,2.1931 0.702859 2.6159 0.398673
2.1931 0.702859 2.6159 0.398673,1.43307 0.55255 1.65365 1.25701,-99.2501,2.1927 0.702912 2.51347 0.398703
2.1927 0.702912 2.51347 0.398703,1.42374 0.584859 1.64935 1.23842,-99.2745,2.19232 0.702974 2.41152 0.398732
2.19232 0.702974 2.41152 0.398732,1.41633 0.577194 1.65401 1.19875,-99.3025,2.19197 0.703047 2.31018 0.398584
2.19197 0.703047 2.31018 0.398584,1.37935 0.580829 1.67269 1.18738,-99.334,2.19165 0.703128 2.20891 0.398359
2.19165 0.703128 2.20891 0.398359,1.32068 0.578119 1.6558 1.20233,-99.3684,2.19136 0.703216 2.10707 0.397933
2.19136 0.703216 2.10707 0.397933,1.29505 0.551008 1.61516 1.20752,-99.4056,2.19112 0.703312 2.00458 0.397238
2.19112 0.703312 2.00458 0.397238,1.32491 0.583103 1.62019 1.18279,-99.445,2.19091 0.703413 1.90242 0.396748
2.19091 0.703413 1.90242 0.396748,1.32092 0.601842 1.6057 1.21499,-99.4862,2.19074 0.703519 1.80051 0.396412
2.19074 0.703519 1.80051 0.396412,1.32826 0.602904 1.60919 1.19563,-99.5288,2.19062 0.703628 1.69904 0.396079
2.19062 0.703628 1.69904 0.396079,1.3244 0.606551 1.60779 1.19836,-99.5725,2.19054 0.70374 1.59793 0.395777
2.19054 0.70374 1.59793 0.395777,1.33321 0.625132 1.5886 1.24375,-99.6166,2.1905 0.703854 1.49711 0.395687
2.1905 0.703854 1.49711 0.395687,1.33575 0.596079 1.59931 1.27625,-99.6609,2.19051 0.703967 1.3958 0.395663
2.19051 0.703967 1.3958 0.395663,1.32532 0.5886 1.60316 1.26709,-99.7048,2.19057 0.704079 1.29396 0.39556
2.19057 0.704079 1.29396 0.39556,1.33314 0.556822 1.59584 1.24023,-99.7479,2.19067 0.70419 1.19178 0.395264
2.19067 0.70419 1.19178 0.395264,1.3308 0.593473 1.58993 1.26426,-99.7898,2.19081 0.704297 1.08952 0.395175
2.19081 0.704297 1.08952 0.395175,1.31812 0.594189 1.61051 1.26466,-99.83,2.19099 0.704399 0.986832 0.395124
2.19099 0.704399 0.986832 0.395124,1.30142 0.626041 1.6069 1.30072,-99.8681,2.19121 0.704497 0.88362 0.395243
2.19121 0.704497 0.88362 0.395243,1.2812 0.661137 1.61504 1.32586,-99.9038,2.19147 0.704588 0.77979 0.395519
2.19147 0.704588 0.77979 0.395519,1.26795 0.640112 1.61462 1.29288,-99.9366,2.19177 0.704671 0.675452 0.395537
2.19177 0.704671 0.675452 0.395537,1.26071 0.636537 1.57283 1.28431,-99.9662,2.19209 0.704747 0.571121 0.395341
2.19209 0.704747 0.571121 0.395341,1.24367 0.645093 1.56493 1.25877,-99.9922,2.19245 0.704813 0.467059 0.395017
2.19245 0.704813 0.467059 0.395017,1.25797 0.646614 1.56845 1.27168,-100.015,2.19283 0.70487 0.363207 0.394831
2.19283 0.70487 0.363207 0.394831,1.27823 0.648334 1.55136 1.26497,-100.033,2.19322 0.704916 0.260007 0.394655
2.19322 0.704916 0.260007 0.394655,1.28474 0.612886 1.55221 1.25685,-100.047,2.19364 0.704952 0.157106 0.394368
2.19364 0.704952 0.157106 0.394368,1.31279 0.605354 1.54559 1.19923,-100.057,2.19407 0.704978 0.0553394 0.393954
2.19407 0.704978 0.0553394 0.393954,1.34465 0.60496 1.54346 1.20426,-100.062,2.1945 0.704992 -0.0452075 0.393694
2.1945 0.704992 -0.0452075 0.393694,1.34913 0.623069 1.54962 1.18649,-100.064,2.19494 0.704995 -0.144403 0.393494
2.19494 0.704995 -0.144403 0.393494,1.3572 0.602623 1.55867 1.20395,-100.061,2.19537 0.704987 -0.24291 0.393359
2.19537 0.704987 -0.24291 0.393359,1.37248 0.613382 1.53849 1.19391,-100.053,2.1958 0.704969 -0.34026 0.393221
2.1958 0.704969 -0.34026 0.393221,1.40425 0.626663 1.56262 1.20671,-100.042,2.19622 0.70494 -0.436579 0.393379
2.19622 0.70494 -0.436579 0.393379,1.38241 0.62972 1.55193 1.22463,-100.027,2.19663 0.704901 -0.532326 0.393484
2.19663 0.704901 -0.532326 0.393484,1.3742 0.638403 1.58519 1.20102,-100.008,2.19703 0.704853 -0.627702 0.393615
2.19703 0.704853 -0.627702 0.393615,1.37008 0.628627 1.55353 1.21902,-99.9851,2.1974 0.704795 -0.722774 0.39364
2.1974 0.704795 -0.722774 0.39364,1.40133 0.628483 1.53794 1.2098,-99.959,2.19775 0.704728 -0.817007 0.393684
2.19775 0.704728 -0.817007 0.393684,1.42707 0.641456 1.52043 1.20247,-99.9298,2.19808 0.704654 -0.909878 0.393773
2.19808 0.704654 -0.909878 0.393773,1.39779 0.654256 1.50638 1.19519,-99.8977,2.19837 0.704572 -1.00157 0.393723
2.19837 0.704572 -1.00157 0.393723,1.36474 0.657325 1.53611 1.21108,-99.8631,2.19864 0.704484 -1.09309 0.393731
2.19864 0.704484 -1.09309 0.393731,1.37766 0.623654 1.53055 1.18925,-99.8262,2.19887 0.70439 -1.1844 0.393572
2.19887 0.70439 -1.1844 0.393572,1.3441 0.623983 1.52505 1.20717,-99.7874,2.19907 0.70429 -1.276 0.393354
2.19907 0.70429 -1.276 0.393354,1.34498 0.633166 1.50537 1.20679,-99.7469,2.19924 0.704187 -1.36753 0.39312
2.19924 0.704187 -1.36753 0.39312,1.3647 0.608007 1.50102 1.23348,-99.7052,2.19936 0.70408 -1.45931 0.392964
2.19936 0.70408 -1.45931 0.392964,1.3753 0.616237 1.49522 1.26502,-99.6625,2.19945 0.703971 -1.55135 0.392976
2.19945 0.703971 -1.55135 0.392976,1.36762 0.615371 1.47594 1.26015,-99.6192,2.1995 0.70386 -1.64345 0.392873
2.1995 0.70386 -1.64345 0.392873,1.34813 0.590447 1.46456 1.28995,-99.5757,2.19951 0.703749 -1.73627 0.392689
2.19951 0.703749 -1.73627 0.392689,1.32745 0.621972 1.43617 1.30991,-99.5323,2.19947 0.703637 -1.82946 0.392528
2.19947 0.703637 -1.82946 0.392528,1.34556 0.673712 1.46137 1.32855,-99.4895,2.1994 0.703527 -1.92271 0.392775
2.1994 0.703527 -1.92271 0.392775,1.35623 0.676326 1.44806 1.34454,-99.4475,2.19929 0.70342 -2.01588 0.393057
2.19929 0.70342 -2.01588 0.393057,1.38686 0.694434 1.4369 1.32909,-99.4066,2.19914 0.703315 -2.10819 0.393392
2.19914 0.703315 -2.10819 0.393392,1.37548 0.732925 1.44565 1.33687,-99.3673,2.19896 0.703213 -2.19968 0.39385
2.19896 0.703213 -2.19968 0.39385,1.39126 0.712617 1.45356 1.33416,-99.3297,2.19874 0.703117 -2.29059 0.394272
2.19874 0.703117 -2.29059 0.394272,1.35166 0.753951 1.44195 1.34762,-99.2941,2.19849 0.703025 -2.38103 0.394671
2.19849 0.703025 -2.38103 0.394671,1.35227 0.771188 1.43002 1.31578,-99.2609,2.19821 0.70294 -2.47042 0.394947
2.19821 0.70294 -2.47042 0.394947,1.4001 0.764114 1.42918 1.32406,-99.2302,2.1979 0.70286 -2.55859 0.395366
2.1979 0.70286 -2.55859 0.395366,1.40347 0.761046 1.39796 1.34292,-99.2023,2.19757 0.702788 -2.6456 0.395709
2.19757 0.702788 -2.6456 0.395709,1.38863 0.784363 1.39312 1.35251,-99.1772,2.19721 0.702724 -2.7316 0.396068
2.19721 0.702724 -2.7316 0.396068,1.38356 0.786247 1.39482 1.36114,-99.1551,2.19683 0.702667 -2.81691 0.396422
2.19683 0.702667 -2.81691 0.396422,1.3832 0.793852 1.42058 1.33405,-99.1362,2.19644 0.702618 -2.90153 0.396766
2.19644 0.702618 -2.90153 0.396766,1.37365 0.77892 1.41894 1.31311,-99.1206,2.19603 0.702578 -2.9856 0.396918
2.19603 0.702578 -2.9856 0.396918,1.37028 0.765814 1.43414 1.32892,-99.1084,2.19561 0.702546 -3.06971 0.397108
2.19561 0.702546 -3.06971 0.397108,1.36112 0.784886 1.44847 1.30948,-99.0997,2.19518 0.702523 3.1295 0.397298
2.19518 0.702523 3.1295 0.397298,1.35804 0.768071 1.45074 1.29803,-99.0945,2.19475 0.70251 3.04551 0.397371
2.19475 0.70251 3.04551 0.397371,1.355 0.785764 1.49295 1.28311,-99.0929,2.19431 0.702506 2.96139 0.397584
2.19431 0.702506 2.96139 0.397584,1.34055 0.824451 1.49423 1.26141,-99.0949,2.19388 0.702511 2.87763 0.397791
2.19388 0.702511 2.87763 0.397791,1.32287 0.843627 1.47833 1.28297,-99.1004,2.19344 0.702525 2.79412 0.398006
2.19344 0.702525 2.79412 0.398006,1.32125 0.841123 1.46609 1.27127,-99.1095,2.19302 0.702549 2.71104 0.398106
2.19302 0.702549 2.71104 0.398106,1.29665 0.825592 1.43709 1.26983,-99.1219,2.1926 0.702581 2.62822 0.397952
2.1926 0.702581 2.62822 0.397952,1.34621 0.837897 1.44509 1.24328,-99.1376,2.19219 0.702622 2.54646 0.397961
2.19219 0.702622 2.54646 0.397961,1.33297 0.842845 1.45754 1.25148,-99.1565,2.1918 0.70267 2.46529 0.398013
2.1918 0.70267 2.46529 0.398013,1.322 0.868357 1.449 1.26601,-99.1784,2.19143 0.702727 2.38473 0.398131
2.19143 0.702727 2.38473 0.398131,1.2954 0.827509 1.49039 1.24969,-99.2032,2.19107 0.702791 2.30369 0.398093
2.19107 0.702791 2.30369 0.398093,1.25873 0.818574 1.48652 1.24769,-99.2308,2.19074 0.702862 2.22184 0.397879
2.19074 0.702862 2.22184 0.397879,1.32332 0.802032 1.49974 1.246,-99.261,2.19043 0.70294 2.13968 0.39789
2.19043 0.70294 2.13968 0.39789,1.3444 0.798765 1.47644 1.25421,-99.2935,2.19014 0.703023 2.0576 0.397909
2.19014 0.703023 2.0576 0.397909,1.37934 0.819336 1.51809 1.27453,-99.3283,2.18989 0.703113 1.97553 0.398334
2.18989 0.703113 1.97553 0.398334,1.42125 0.820707 1.52769 1.2723,-99.3651,2.18966 0.703208 1.89385 0.398899
2.18966 0.703208 1.89385 0.398899,1.45198 0.820376 1.55329 1.28491,-99.4037,2.18946 0.703307 1.8124 0.399653
2.18946 0.703307 1.8124 0.399653,1.45391 0.807374 1.54663 1.31188,-99.4438,2.1893 0.70341 1.73083 0.400376
2.1893 0.70341 1.73083 0.400376,1.43899 0.780239 1.54375 1.34512,-99.4852,2.18917 0.703516 1.64839 0.400996
2.18917 0.703516 1.64839 0.400996,1.41281 0.748789 1.53492 1.32798,-99.5275,2.18907 0.703625 1.56487 0.401273
2.18907 0.703625 1.56487 0.401273,1.38414 0.784849 1.51783 1.32864,-99.5705,2.18901 0.703735 1.48071 0.401495
2.18901 0.703735 1.48071 0.401495,1.37052 0.770049 1.52739 1.34165,-99.6139,2.18899 0.703847 1.39545 0.401678
2.18899 0.703847 1.39545 0.401678,1.37743 0.746119 1.52223 1.37699,-99.6573,2.189 0.703958 1.30878 0.401891
2.189 0.703958 1.30878 0.401891,1.36918 0.773904 1.55078 1.36229,-99.7005,2.18906 0.704068 1.22097 0.402201
2.18906 0.704068 1.22097 0.402201,1.34838 0.737302 1.56905 1.38768,-99.743,2.18915 0.704177 1.13116 0.402438
2.18915 0.704177 1.13116 0.402438,1.33439 0.759879 1.57056 1.36133,-99.7845,2.18928 0.704283 1.04002 0.402597
2.18928 0.704283 1.04002 0.402597,1.35357 0.769942 1.59048 1.33626,-99.8248,2.18944 0.704386 0.948133 0.402827
2.18944 0.704386 0.948133 0.402827,1.35695 0.775942 1.58624 1.32904,-99.8633,2.18964 0.704484 0.855855 0.403029
2.18964 0.704484 0.855855 0.403029,1.36445 0.767818 1.57742 1.31292,-99.8998,2.18988 0.704577 0.763506 0.403125
2.18988 0.704577 0.763506 0.403125,1.36202 0.734883 1.55396 1.29817,-99.934,2.19015 0.704665 0.671128 0.402958
2.19015 0.704665 0.671128 0.402958,1.34067 0.703503 1.56795 1.27346,-99.9655,2.19045 0.704745 0.578284 0.402586
2.19045 0.704745 0.578284 0.402586,1.35009 0.677246 1.54251 1.27005,-99.9939,2.19078 0.704817 0.485179 0.402087
2.19078 0.704817 0.485179 0.402087,1.3401 0.699515 1.52777 1.22505,-100.019,2.19113 0.704882 0.39262 0.401466
2.19113 0.704882 0.39262 0.401466,1.32398 0.666136 1.56183 1.21993,-100.041,2.19151 0.704937 0.299684 0.400827
2.19151 0.704937 0.299684 0.400827,1.34548 0.665377 1.58122 1.22744,-100.059,2.1919 0.704984 0.206371 0.400408
2.1919 0.704984 0.206371 0.400408,1.34701 0.648459 1.58257 1.23228,-100.074,2.19231 0.70502 0.11252 0.399993
2.19231 0.70502 0.11252 0.399993,1.3399 0.628761 1.60074 1.23525,-100.084,2.19273 0.705046 0.0177182 0.399594
2.19273 0.705046 0.0177182 0.399594,1.33838 0.611656 1.57343 1.25965,-100.09,2.19316 0.705062 -0.0780329 0.399154
2.19316 0.705062 -0.0780329 0.399154,1.32973 0.601591 1.60386 1.22504,-100.092,2.19359 0.705067 -0.174718 0.398672
2.19359 0.705067 -0.174718 0.398672,1.33426 0.608803 1.61687 1.25541,-100.09,2.19403 0.705061 -0.272504 0.398422
2.19403 0.705061 -0.272504 0.398422,1.30519 0.60058 1.57438 1.23028,-100.083,2.19445 0.705044 -0.370872 0.39783
2.19445 0.705044 -0.370872 0.39783,1.32514 0.572526 1.58699 1.24999,-100.072,2.19487 0.705017 -0.470142 0.397372
2.19487 0.705017 -0.470142 0.397372,1.35268 0.576396 1.57199 1.2503,-100.057,2.19528 0.704978 -0.569661 0.39701
2.19528 0.704978 -0.569661 0.39701,1.36036 0.569445 1.52517 1.24408,-100.038,2.19567 0.70493 -0.668818 0.396498
2.19567 0.70493 -0.668818 0.396498,1.34457 0.581876 1.53393 1.25094,-100.015,2.19603 0.704872 -0.767878 0.396072
2.19603 0.704872 -0.767878 0.396072,1.33354 0.592458 1.56783 1.27143,-99.9891,2.19638 0.704805 -0.867438 0.395869
2.19638 0.704805 -0.867438 0.395869,1.31008 0.581556 1.60623 1.24266,-99.9594,2.19669 0.704729 -0.96787 0.395597
2.19669 0.704729 -0.96787 0.395597,1.32304 0.569203 1.56253 1.20914,-99.9267,2.19697 0.704646 -1.06819 0.395083
2.19697 0.704646 -1.06819 0.395083,1.34191 0.581092 1.59761 1.20506,-99.8913,2.19722 0.704556 -1.16842 0.394826
2.19722 0.704556 -1.16842 0.394826,1.27441 0.614604 1.5962 1.20089,-99.8535,2.19743 0.704459 -1.26888 0.394453
2.19743 0.704459 -1.26888 0.394453,1.25246 0.584311 1.6139 1.19439,-99.8139,2.1976 0.704358 -1.3702 0.39397
2.1976 0.704358 -1.3702 0.39397,1.25094 0.574768 1.60997 1.1953,-99.7727,2.19773 0.704253 -1.47229 0.393478
2.19773 0.704253 -1.47229 0.393478,1.23035 0.598091 1.55112 1.21444,-99.7305,2.19782 0.704145 -1.57457 0.3929
2.19782 0.704145 -1.57457 0.3929,1.21098 0.565378 1.57375 1.21397,-99.6876,2.19786 0.704035 -1.67778 0.392266
2.19786 0.704035 -1.67778 0.392266,1.2476 0.586109 1.55761 1.22836,-99.6446,2.19786 0.703925 -1.78112 0.391878
2.19786 0.703925 -1.78112 0.391878,1.24489 0.577373 1.57446 1.21882,-99.6019,2.19781 0.703816 -1.88476 0.391508
2.19781 0.703816 -1.88476 0.391508,1.25084 0.585947 1.55738 1.1865,-99.56,2.19771 0.703708 -1.98797 0.391048
2.19771 0.703708 -1.98797 0.391048,1.25919 0.581512 1.53121 1.19208,-99.5192,2.19758 0.703604 -2.09058 0.390569
2.19758 0.703604 -2.09058 0.390569,1.24228 0.574468 1.51001 1.19708,-99.4802,2.1974 0.703503 -2.19278 0.38999
2.1974 0.703503 -2.19278 0.38999,1.26961 0.545572 1.50319 1.2049,-99.4431,2.19719 0.703408 -2.29468 0.389457
2.19719 0.703408 -2.29468 0.389457,1.28637 0.51124 1.48298 1.2308,-99.4085,2.19693 0.703319 -2.39658 0.388928
2.19693 0.703319 -2.39658 0.388928,1.26816 0.458235 1.46733 1.22929,-99.3768,2.19664 0.703238 -2.49904 0.388136
2.19664 0.703238 -2.49904 0.388136,1.27667 0.472257 1.46431 1.24281,-99.3482,2.19633 0.703164 -2.60185 0.387524
2.19633 0.703164 -2.60185 0.387524,1.28289 0.488651 1.47137 1.22112,-99.3231,2.19598 0.7031 -2.70453 0.386991
2.19598 0.7031 -2.70453 0.386991,1.24844 0.485169 1.45315 1.22483,-99.3018,2.19561 0.703045 -2.80736 0.38632
2.19561 0.703045 -2.80736 0.38632,1.21301 0.449171 1.44937 1.19111,-99.2844,2.19522 0.703 -2.91066 0.385326
